Date,Close/Last,Open,High,Low,
12/17/2024,6050.61,6052.55,6057.68,6035.19,
12/16/2024,6074.08,6063.79,6085.19,6059.14,
12/13/2024,6051.09,6068.17,6078.58,6035.77,
12/12/24,6051.25,6074.29,6079.68,6051.25,
12/11/24,6084.19,6060.15,6092.59,6060.15,
12/10/24,6034.91,6057.59,6065.4,6029.89,
12/9/24,6052.85,6083.01,6088.51,6048.63,
12/6/24,6090.27,6081.38,6099.97,6079.98,
12/5/24,6075.11,6089.03,6094.55,6072.9,
12/4/24,6086.49,6069.39,6089.84,6061.06,
12/3/24,6049.88,6042.97,6052.07,6033.39,
12/2/24,6047.15,6040.11,6053.58,6035.33,
11/29/2024,6032.38,6003.98,6044.17,6003.98,
11/27/2024,5998.74,6014.11,6020.16,5984.87,
11/26/2024,6021.63,6000.03,6025.42,5992.27,
11/25/2024,5987.37,5992.28,6020.75,5963.91,
11/22/2024,5969.34,5944.36,5972.9,5944.36,
11/21/2024,5948.71,5940.58,5963.32,5887.26,
11/20/2024,5917.11,5914.34,5920.67,5860.56,
11/19/2024,5916.98,5870.05,5923.51,5855.29,
11/18/2024,5893.62,5874.17,5908.12,5865.95,
11/15/2024,5870.62,5912.79,5915.32,5853.01,
11/14/2024,5949.17,5989.68,5993.88,5942.28,
11/13/2024,5985.38,5985.75,6008.19,5965.91,
11/12/24,5983.99,6003.6,6009.92,5960.08,
11/11/24,6001.35,6008.86,6017.31,5986.69,
11/8/24,5995.54,5976.76,6012.45,5976.76,
11/7/24,5973.1,5947.21,5983.84,5947.21,
11/6/24,5929.04,5864.89,5936.14,5864.89,
11/5/24,5782.76,5722.43,5783.44,5722.1,
11/4/24,5712.69,5725.15,5741.43,5696.51,
11/1/24,5728.8,5723.22,5772.52,5723.22,
10/31/2024,5705.45,5775.34,5775.34,5702.86,
10/30/2024,5813.67,5832.65,5850.94,5811.28,
10/29/2024,5832.92,5819.68,5847.19,5802.17,
10/28/2024,5823.52,5833.93,5842.92,5823.08,
10/25/2024,5808.12,5826.75,5862.82,5799.98,
10/24/2024,5809.86,5817.8,5817.8,5784.92,
10/23/2024,5797.42,5834.5,5834.85,5762.41,
10/22/2024,5851.2,5832.7,5863.04,5821.17,
10/21/2024,5853.98,5857.82,5866.92,5824.79,
10/18/2024,5864.67,5859.43,5872.17,5846.11,
10/17/2024,5841.47,5875.62,5878.46,5840.25,
10/16/2024,5842.47,5816.58,5846.52,5808.34,
10/15/2024,5815.26,5866.74,5870.36,5804.48,
10/14/2024,5859.85,5829.81,5871.41,5829.57,
10/11/24,5815.03,5775.09,5822.13,5775.09,
10/10/24,5780.05,5778.36,5795.03,5764.76,
10/9/24,5792.04,5751.8,5796.8,5745.02,
10/8/24,5751.13,5719.14,5757.6,5714.56,
10/7/24,5695.94,5737.8,5739.34,5686.85,
10/4/24,5751.07,5737.48,5753.21,5702.83,
10/3/24,5699.94,5698.19,5718.78,5677.37,
10/2/24,5709.54,5698.14,5719.63,5674,
10/1/24,5708.75,5757.73,5757.73,5681.28,
09/30/2024,5762.48,5726.52,5765.14,5703.53,
09/27/2024,5738.17,5755.36,5763.78,5727.34,
09/26/2024,5745.37,5762.22,5767.37,5721.01,
09/25/2024,5722.26,5733.65,5741.03,5712.06,
09/24/2024,5732.93,5727.66,5735.32,5698.99,
09/23/2024,5718.57,5711.9,5725.36,5704.22,
09/20/2024,5702.55,5709.64,5715.14,5674.49,
09/19/2024,5713.64,5702.63,5733.57,5686.42,
09/18/2024,5618.26,5641.68,5689.75,5615.08,
09/17/2024,5634.58,5655.51,5670.81,5614.05,
09/16/2024,5633.09,5615.21,5636.05,5604.53,
09/13/2024,5626.02,5603.34,5636.27,5601.65,
9/12/24,5595.76,5557.48,5600.71,5535.5,
9/11/24,5554.13,5496.42,5560.41,5406.96,
9/10/24,5495.52,5490.51,5497.91,5441.72,
9/9/24,5471.05,5442.07,5484.2,5434.49,
9/6/24,5408.42,5507.33,5522.47,5402.62,
9/5/24,5503.41,5520.08,5546.3,5480.54,
9/4/24,5520.07,5506.68,5552.99,5503.66,
9/3/24,5528.93,5623.89,5623.89,5504.33,
08/30/2024,5648.4,5612.74,5651.37,5581.79,
08/29/2024,5591.96,5607.3,5646.95,5583.71,
08/28/2024,5592.18,5624.51,5627.03,5560.95,
08/27/2024,5625.8,5602.89,5631.18,5593.48,
08/26/2024,5616.84,5639.66,5651.62,5602.34,
08/23/2024,5634.61,5602.49,5641.82,5585.16,
08/22/2024,5570.64,5637.77,5643.22,5560.95,
08/21/2024,5620.85,5603.09,5632.68,5591.57,
08/20/2024,5597.12,5602.88,5620.51,5585.5,
08/19/2024,5608.25,5557.23,5608.3,5550.74,
08/16/2024,5554.25,5530.5,5561.98,5525.17,
08/15/2024,5543.22,5501.13,5546.23,5501.13,
08/14/2024,5455.21,5442.36,5463.22,5415.91,
08/13/2024,5434.43,5376.98,5436.5,5376.98,
8/12/24,5344.39,5351.88,5371.2,5324.37,
8/9/24,5344.16,5314.66,5358.67,5300.84,
8/8/24,5319.31,5252.57,5328.03,5233.85,
8/7/24,5199.5,5293.13,5330.64,5195.54,
8/6/24,5240.03,5206.42,5312.34,5193.56,
8/5/24,5186.33,5151.14,5250.89,5119.26,
8/2/24,5346.56,5376.63,5383.89,5302.03,
8/1/24,5446.68,5537.84,5566.16,5410.42,
07/31/2024,5522.3,5505.59,5551.51,5493.75,
07/30/2024,5436.44,5478.73,5489.46,5401.7,
07/29/2024,5463.54,5476.55,5487.74,5444.44,
07/26/2024,5459.1,5433.67,5488.32,5430.7,
07/25/2024,5399.22,5428.7,5491.59,5390.95,
07/24/2024,5427.13,5505.84,5508.04,5419.98,
07/23/2024,5555.74,5565.3,5585.34,5550.9,
07/22/2024,5564.41,5544.54,5570.36,5529.04,
07/19/2024,5505,5543.37,5557.5,5497.04,
