Date,Close/Last,Open,High,Low
2014-12-18,2061.23,2018.98,2061.23,2018.98
2015-01-01,2058.9,0.0,0.0,0.0
2015-02-02,2020.85,1996.67,2021.66,1980.9
2015-03-02,2117.39,2105.23,2117.52,2104.5
2015-04-01,2059.69,2067.63,2067.63,2048.38
2015-05-01,2108.29,2087.38,2108.41,2087.38
2015-06-01,2111.73,2108.64,2119.15,2102.54
2015-07-01,2077.42,2067.0,2082.78,2067.0
2015-08-03,2098.04,2104.49,2105.7,2087.31
2015-09-01,1913.85,1970.09,1970.09,1903.07
2015-10-01,1923.82,1919.65,1927.21,1900.7
2015-11-02,2104.05,2080.76,2106.2,2080.76
2015-12-01,2102.63,2082.93,2103.37,2082.93
2016-01-04,2012.66,2038.2,2038.2,1989.68
2016-02-01,1939.38,1936.94,1947.2,1920.3
2016-03-01,1978.35,1937.09,1978.35,1937.09
2016-04-01,2072.78,2056.62,2075.07,2043.98
2016-05-02,2081.43,2067.17,2083.42,2066.11
2016-06-01,2099.33,2093.94,2100.97,2085.1
2016-07-01,2102.95,2099.34,2108.71,2097.9
2016-08-01,2170.84,2173.15,2178.29,2166.21
2016-09-01,2170.86,2171.33,2173.56,2157.09
2016-10-03,2161.2,2164.33,2164.41,2154.77
2016-11-01,2111.72,2128.68,2131.45,2097.85
2016-12-01,2191.08,2200.17,2202.6,2187.44
2017-01-03,2257.83,2251.57,2263.88,2245.13
2017-02-01,2279.55,2285.59,2289.14,2272.44
2017-03-01,2395.96,2380.13,2400.98,2380.13
2017-04-03,2358.84,2362.34,2365.87,2344.73
2017-05-01,2388.33,2388.5,2394.49,2384.83
2017-06-01,2430.06,2415.65,2430.06,2413.54
2017-07-03,2429.01,2431.39,2439.17,2428.69
2017-08-01,2476.35,2477.1,2478.51,2471.14
2017-09-01,2476.55,2474.42,2480.38,2473.85
2017-10-02,2529.12,2521.2,2529.23,2520.4
2017-11-01,2579.36,2583.21,2588.4,2574.92
2017-12-01,2642.22,2645.1,2650.62,2605.52
2018-01-02,2695.81,2683.73,2695.89,2682.36
2018-02-01,2821.98,2816.45,2835.96,2812.7
