Date,VIX - level,US IP - %,UK IP - %,Ger IP - %,Fra IP - %,WTI - %,USD - level,ISM - level,10yr - level,2yr - level,10yr2yr - level,Gold - %,US CPI - %,UK CPI - %,Ger CPI - %,France CPI - %,Euro - level,Fed Rate - %,UK Rate - %
30/1/15,20.97,2.82,3.5,-0.3,1.6,-9.442462925,94.804,53.9,-0.01,-1.2,118.883,8.394336229,1.6,0.3,-0.2,-0.4,1.1291,0.11,0.5
27/2/15,13.34,1.4,4.7,0.1,0.8,3.150912106,95.293,53,0.3,-1.08,137.064,-5.500120736,1.7,0,0,-0.3,1.1196,0.11,0.5
31/3/15,15.29,0.07,6.4,0.4,1.1,-4.340836013,98.357,52.1,0.17,-1.2,136.405,-2.440693055,1.8,0,0.3,-0.1,1.0731,0.11,0.5
30/4/15,14.55,-0.56,6.2,1.3,0.2,25.27310924,94.6,51.9,0.22,-1.24,146.077,0.067592115,1.8,-0.1,0.9,0.1,1.1224,0.12,0.5
29/5/15,13.84,-1.43,6.2,2.3,3.4,1.123595506,96.907,52.9,0.4,-1.11,151.222,0.52432939,1.7,0.1,1.2,0.3,1.0986,0.12,0.5
30/6/15,18.23,-2.06,6.5,1.7,0.9,-1.376451078,95.485,52.5,0.59,-1.12,170.639,-1.531186481,1.8,0,1,0.3,1.1147,0.13,0.5
31/7/15,12.12,-1.68,4.7,1.5,-1.1,-20.76677316,97.336,52,0.38,-1.14,151.555,-6.529619994,1.8,0.1,0.8,0.2,1.0984,0.13,0.5
31/8/15,28.43,-1.72,6.3,2.9,1.7,4.41426146,95.824,50.2,0.39,-1.09,147.846,3.5709071,1.8,0,0.7,0,1.1211,0.14,0.5
30/9/15,24.5,-2.29,5.4,0.6,2,-8.353658537,96.35,50.1,0.15,-1.26,140.387,-1.748125435,1.9,-0.1,0.6,0,1.1177,0.14,0.5
30/10/15,15.07,-2.74,5.5,1.1,4.1,3.326679973,96.946,49.1,0.23,-1.19,141.401,2.423122797,1.9,-0.1,0.9,0.1,1.1006,0.12,0.5
30/11/15,16.13,-4.07,3.2,0.1,2.8,-10.60313372,100.17,49.1,0.19,-1.09,127.167,-6.771676984,2,0.1,0.2,0,1.0565,0.12,0.5
31/12/15,18.21,-4.57,0.9,-0.6,0.2,-11.06842737,98.631,48.7,0.17,-1.05,121.769,-0.344675376,2.1,0.2,0.3,0.2,1.0862,0.24,0.5
29/1/16,20.2,-3.3,0.8,2.6,2.2,-9.233261339,99.606,47.6,-0.29,-1.43,114.325,5.382150598,2.2,0.3,0.5,0.2,1.0831,0.34,0.5
29/2/16,20.55,-3.19,-1,2.4,0.5,0.386674598,98.211,49.2,-0.6,-1.56,95.71,10.77257402,2.3,0.3,0.1,-0.2,1.0873,0.38,0.5
31/3/16,13.95,-3.6,-0.7,1.3,0.2,13.6,94.586,51,-0.43,-1.47,104.364,-0.477931975,2.2,0.5,0.2,-0.1,1.138,0.36,0.5
29/4/16,15.7,-2.76,2.7,1,2,19.7704747,93.082,51.3,-0.31,-1.36,104.768,4.930440073,2.1,0.3,-0.1,-0.2,1.1451,0.37,0.5
31/5/16,14.19,-2.52,1.5,-0.6,-0.8,6.925087108,95.891,51.4,-0.39,-1.36,96.491,-6.046245545,2.2,0.3,0.2,0,1.1132,0.37,0.5
30/6/16,15.63,-1.77,0,1.5,-0.8,-1.568228106,96.143,52.2,-0.77,-1.66,88.409,8.769706744,2.2,0.5,0.3,0.2,1.1106,0.38,0.5
29/7/16,11.87,-2.25,0.7,-0.8,0.4,-13.92509828,95.53,52.7,-0.74,-1.53,79.38,2.222558439,2.2,0.6,0.4,0.2,1.1174,0.39,0.5
31/8/16,13.42,-2.13,0.2,2.6,1.1,7.451923077,96.022,49.8,-0.74,-1.51,77.073,-3.131105322,2.3,0.6,0.4,0.2,1.1158,0.4,0.25
30/9/16,13.29,-1.97,0.1,2.3,-1,7.919463087,95.463,51.1,-0.61,-1.45,82.858,0.52713202,2.2,1,0.6,0.4,1.1235,0.4,0.25
31/10/16,17.06,-1.44,-1.4,2.1,-1.7,-2.860696517,98.445,51.8,-0.32,-1.3,98.062,-2.937980196,2.1,0.9,0.7,0.4,1.0981,0.4,0.25
30/11/16,13.33,-1.09,0.8,2.9,2.9,5.505761844,101.5,53.2,0.27,-1,126.195,-8.143531604,2.1,1.2,0.7,0.5,1.0589,0.41,0.25
30/12/16,14.04,0.05,2.4,0.5,1.4,8.656957929,102.21,54.4,0.25,-1.01,125.023,-2.19058984,2.2,1.6,1.4,0.6,1.0517,0.54,0.25
31/1/17,11.99,-0.68,-0.4,-0.6,-0.5,-1.693968727,99.512,55.7,0.18,-1.07,124.474,5.509368192,2.3,1.8,1.6,1.3,1.0798,0.65,0.25
28/2/17,12.92,-0.48,-0.2,0.9,-0.3,2.272296913,101.12,57.7,0.17,-0.96,112.786,3.11550152,2.2,2.3,1.8,1.2,1.0576,0.66,0.25
31/3/17,12.37,0.95,-2.2,1.3,1.3,-6.313645621,100.35,56.5,0.39,-0.75,112.945,0.060875973,2,2.3,1.4,1.1,1.0652,0.79,0.25
28/4/17,10.82,1.64,-4.5,2.8,0.3,-2.509881423,99.05,55.8,0.4,-0.62,101.435,1.527377522,1.9,2.7,1.7,1.2,1.0895,0.9,0.25
31/5/17,10.41,1.96,-2.6,4.4,3.5,-2.047435638,96.922,56.4,0.47,-0.45,91.701,0.050462043,1.7,2.9,1.2,0.8,1.1244,0.91,0.25
30/6/17,11.18,1.66,-1.5,2.6,3,-4.718543046,95.628,56.2,0.6,-0.32,91.802,-2.152223938,1.7,2.6,1.4,0.7,1.1426,1.04,0.25
31/7/17,10.26,1.32,-0.7,4,3.3,8.970460469,92.863,56.5,0.6,-0.34,93.91,2.241444576,1.7,2.6,1.5,0.7,1.1842,1.15,0.25
31/8/17,10.59,0.97,-0.4,4.5,1.6,-5.860075742,92.668,58.4,0.43,-0.36,78.747,4.09550668,1.7,2.9,1.7,0.9,1.191,1.16,0.25
29/9/17,9.51,1.17,1.7,3.9,3.9,9.400804573,93.076,60,0.64,-0.21,84.489,-3.154158752,1.7,3,1.6,1,1.1814,1.15,0.25
31/10/17,10.18,2.36,3.4,2.3,4.5,5.244822915,94.552,58.6,0.61,-0.17,77.559,-0.648564173,1.8,3,1.4,1.1,1.1646,1.15,0.25
30/11/17,11.28,2.98,3.2,5.4,2.2,5.553512321,93.047,57.6,0.7,0.07,62.367,0.279995281,1.7,3.1,1.6,1.2,1.1904,1.16,0.5
29/12/17,11.04,2.51,2.1,6.7,4.8,5.261324042,92.124,59.7,0.63,0.11,51.843,2.179590748,1.8,3,1.4,1.2,1.2005,1.3,0.5
31/1/18,13.54,2.64,3.4,5.4,1,7.133399537,89.133,59.4,0.88,0.32,56.043,3.249923242,1.8,3,1.4,1.3,1.2414,1.41,0.5
28/2/18,19.85,3.34,4.1,1.6,3.4,-4.773675266,90.613,60.9,1.01,0.4,60.655,-1.994587924,1.8,2.7,1.2,1.2,1.2194,1.42,0.5
30/3/18,19.97,3.24,5.2,3.3,2.6,5.35366645,89.974,58.8,0.62,0.15,46.879,0.543878147,2.1,2.5,1.5,1.6,1.2324,1.51,0.5
30/4/18,15.93,3.38,4.2,1.2,1.1,5.589775177,91.841,58.6,0.81,0.35,46.114,-0.761233666,2.1,2.4,1.4,1.6,1.2078,1.69,0.5
31/5/18,15.43,2.33,3.8,2.9,-1.5,-2.231296485,93.979,59,0.62,0.19,42.712,-1.283269601,2.2,2.4,2.1,2,1.1693,1.7,0.5
29/6/18,16.09,2.93,5.7,2.5,1,10.60560859,94.47,59.9,0.61,0.27,32.786,-3.535590793,2.3,2.4,1.9,2,1.1684,1.82,0.5
31/7/18,12.83,3.31,3.9,0.6,0.9,-7.269049225,94.554,58.1,0.61,0.32,28.632,-2.271275746,2.4,2.5,1.9,2.3,1.1691,1.91,0.5
31/8/18,12.86,4.51,4.5,-0.4,1.3,1.512507272,95.14,60.5,0.66,0.43,23.139,-1.878854716,2.2,2.7,1.9,2.3,1.1602,1.91,0.75
28/9/18,12.12,4.39,2.8,-0.2,-0.9,4.94269341,95.132,59.3,0.89,0.65,23.831,-0.855013945,2.2,2.4,2.1,2.2,1.1604,1.95,0.75
31/10/18,21.23,2.98,1.5,0.7,-0.5,-10.83959044,97.127,58.1,1,0.73,27.259,2.005239823,2.1,2.4,2.3,2.2,1.1312,2.19,0.75
30/11/18,18.07,2.7,0.8,-3.8,-1.5,-22.01806768,97.272,58.6,0.77,0.57,19.938,0.474167737,2.2,2.3,2.1,1.9,1.1317,2.2,0.75
31/12/18,25.42,2.45,0.6,-2.3,-2.1,-10.83840565,96.173,54.9,0.51,0.31,19.233,5.077344083,2.2,2.1,1.7,1.6,1.1467,2.27,0.75
31/1/19,16.57,1.9,1.8,-2.1,2.3,18.454085,95.578,55.7,0.48,0.3,16.96,3.022245787,2.2,1.8,1.3,1.2,1.1448,2.4,0.75
28/2/19,14.78,1.09,2.1,0.2,0.4,6.376649935,96.157,54.4,0.63,0.43,19.885,-0.600189215,2.1,1.9,1.4,1.3,1.1371,2.4,0.75
29/3/19,13.71,0.61,3.2,-0.5,-0.3,5.1031108,97.284,54.9,0.37,0.22,13.896,-1.594432431,2,1.9,1.3,1.1,1.1218,2.41,0.75
30/4/19,13.12,-1.02,1,-1.5,1.5,6.268706352,97.479,53.6,0.44,0.2,23.368,-0.684783113,2.1,2.1,1.9,1.3,1.1215,2.42,0.75
31/5/19,18.71,0.1,2.3,-3.2,4.1,-16.28853075,97.75,52.6,0.14,-0.07,20.019,1.717918553,2,2,1.4,0.9,1.1169,2.39,0.75
28/6/19,15.08,-0.64,0.9,-3.6,0,9.289719626,96.13,51.5,-0.12,-0.37,24.82,7.96351047,2.1,2,1.6,1.2,1.1373,2.38,0.75
31/7/19,16.12,-1.22,2.1,-2.4,0.4,0.188130665,98.516,51,-0.2,-0.34,14.03,0.300095775,2.2,2.1,1.6,1.1,1.1076,2.4,0.75
30/8/19,18.98,-1.22,0.7,-3.1,-1.2,-5.940594059,98.916,48.5,-0.89,-0.88,-1.391,7.540069884,2.4,1.7,1.4,1,1.0982,2.13,0.75
30/9/19,16.24,-1.52,2.1,-3,1,-1.869328494,99.377,48.1,-0.69,-0.74,3.884,-3.149870427,2.4,1.7,1.2,0.9,1.0899,2.04,0.75
31/10/19,13.22,-2.18,4.1,-3.4,-0.3,0.203439985,97.352,48.1,-0.62,-0.79,16.308,2.750443127,2.3,1.5,1.1,0.8,1.1152,1.83,0.75
29/11/19,12.62,-1.79,3.9,-1.4,0.6,1.827242525,98.273,48.1,-0.54,-0.7,15.988,-3.239281159,2.3,1.5,1,1,1.1018,1.55,0.75
31/12/19,13.78,-2.03,3.9,-4.4,-2.5,10.67609208,96.389,47.9,-0.34,-0.69,34.442,3.64007705,2.3,1.3,1.5,1.5,1.1213,1.55,0.75
31/1/20,18.84,-1.9,4.9,-0.9,-3.1,-15.55846708,97.39,51.4,-0.75,-0.95,18.763,4.738115167,2.3,1.8,2.1,1.5,1.1093,1.55,0.75
28/2/20,40.11,-1.08,5.2,-0.6,-1.1,-13.18851823,98.132,50.1,-1.21,-1.44,22.962,-0.218354351,2.4,1.7,2,1.4,1.1026,1.58,0.75
31/3/20,53.54,-4.88,-1,-9.8,-17.7,-54.24486148,99.048,49,-1.42,-1.85,41.967,-0.536674886,2.1,1.5,1.8,0.7,1.1031,0.65,0.1
30/4/20,34.15,-17.02,-17.1,-25.3,-34.9,-8.0078125,99.016,41.8,-0.79,-1.24,44.174,6.931358501,1.4,0.8,1,0.3,1.0955,0.05,0.1
29/5/20,27.51,-15.83,-12,-18.7,-23.5,88.37579618,98.344,43.5,-0.57,-1.06,48.644,2.595315743,1.2,0.5,0.8,0.4,1.1101,0.05,0.1
30/6/20,30.43,-10.57,-2.1,-9.8,-11.6,10.65088757,97.391,52.6,-0.53,-1.04,50.366,2.929600583,1.2,0.6,0.6,0.2,1.1234,0.08,0.1
31/7/20,24.46,-6.81,2.9,-8.7,-9.1,2.546473135,93.349,53.8,-1.04,-1.46,41.888,10.94353607,1.6,1,-0.6,0.8,1.1778,0.09,0.1
31/8/20,26.41,-6.6,5.6,-8.9,-7.2,5.810777254,92.144,55.4,-1.03,-1.61,57.194,-0.407923638,1.7,0.2,-0.5,0.2,1.1936,0.1,0.1
30/9/20,26.37,-6.34,5.7,-6.1,-6.6,-5.609011969,93.886,55.5,-1.03,-1.59,55.313,-4.166073788,1.7,0.5,-0.5,0,1.1721,0.09,0.1
30/10/20,38.02,-4.87,5.8,-2.4,-4.4,-11.01442069,94.038,58.7,-0.74,-1.46,71.734,-0.371721585,1.6,0.7,-0.3,0,1.1647,0.09,0.1
30/11/20,20.57,-4.88,7.8,-1.4,-4.9,26.68343113,91.869,57.3,-0.81,-1.5,68.846,-5.421516811,1.6,0.3,0.2,0.2,1.1927,0.09,0.1
31/12/20,22.75,-3.56,8.4,1.8,-3.2,7.01367446,89.937,60.2,-0.71,-1.5,79.014,6.83249388,1.6,0.6,-0.2,0,1.2216,0.09,0.1
29/1/21,33.09,-2.01,4.6,-3.9,0,7.584501237,90.584,59.3,-0.34,-1.3,95.222,-2.671253082,1.4,0.7,1.2,0.6,1.2136,0.09,0.1
26/2/21,27.95,-5.39,4.1,-5.9,-6.2,17.81609195,90.879,60.8,0.12,-1.16,127.209,-6.148891836,1.3,0.4,1.5,0.6,1.2075,0.08,0.1
